Fostick, Leah;Leah Fostick;Ariel University
Schmuckler, Mark;Mark Schmuckler;University of Toronto Scarborough
Namin, Akbar Siami;Akbar Siami Namin;Computer Science Department, Texas Tech University
Jones, Keith;Keith Jones;Texas Tech University
Scheurich, Rebecca;Rebecca Scheurich;McGill University
Demos, Alexander P;Alexander P Demos;University of Illinois at Chicago
Zamm, Anna;Anna Zamm;McGill University
Mathias, Brian;Brian Mathias;McGill University
Palmer, Caroline;Caroline Palmer;McGill University
Wei, Yi;Yi Wei;University of Connecticut
Wasserman, Charles S;Charles S Wasserman;University of Connecticut
Friedman, Amy;Amy Friedman;McGill University
Maxwell, Braden;Braden Maxwell;University of Rochester
Henechowicz, Tara L;Tara L Henechowicz;University of Toronto
Chen, Joyce L.;Joyce L. Chen;University of Toronto
Cohen, Leonardo G.;Leonardo G. Cohen;NIH/NINDS
Thaut, Michael;Michael Thaut;University of Toronto
Merrill, Julia;Julia Merrill;Max Planck Institute for Empirical Aesthetics
Condit-Schultz, Nathaniel;Nathaniel Condit-Schultz;Georgia Institute of Technology
Yang, Simin;Simin Yang;Centre for Digital Music, Queen Mary University of London
Barthet, Mathieu;Mathieu Barthet;QMUL
Chew, Elaine;Elaine Chew;Centre for Digital Music, Queen Mary University of London, UK
Spidle, Frances;Frances Spidle;McGill University
Koopmans, Erik;Erik Koopmans;McGill University
Schubert, Peter;Peter Schubert;McGill University
Lerud, Karl D;Karl D Lerud;University of Connecticut
Curtis, Meagan;Meagan Curtis;Purchase College, SUNY
Brothers, Sarah;Sarah Brothers;Purchase College, SUNY
Grimaud, Annaliese Micallef;Annaliese Micallef Grimaud;Durham University 
Hedger, Stephen C Van;Stephen C Van Hedger;Western University
Heald, Shannon;Shannon Heald;University of Chicago
Nusbaum, Howard;Howard Nusbaum;University of Chicago
Han, Yo-Jung;Yo-Jung Han;University of Maryland
Heyne, Matthias;Matthias Heyne;Boston University, Sargent College of Health & Rehabilitation Sciences, Boston, MA
Iltis, Peter;Peter Iltis;Gordon College
